LocationID,Name,CostRate,Availability,ModifiedDate
1,"Tool Crib",0,0,2008-04-30 00:00:00.000
2,"Sheet Metal Racks",0,0,2008-04-30 00:00:00.000
3,"Paint Shop",0,0,2008-04-30 00:00:00.000
4,"Paint Storage",0,0,2008-04-30 00:00:00.000
5,"Metal Storage",0,0,2008-04-30 00:00:00.000
6,"Miscellaneous Storage",0,0,2008-04-30 00:00:00.000
7,"Finished Goods Storage",0,0,2008-04-30 00:00:00.000
10,"Frame Forming",22.5,96,2008-04-30 00:00:00.000
20,"Frame Welding",25,108,2008-04-30 00:00:00.000
30,"Debur and Polish",14.5,120,2008-04-30 00:00:00.000
40,"Paint",15.75,120,2008-04-30 00:00:00.000
45,"Specialized Paint",18,80,2008-04-30 00:00:00.000
50,"Subassembly",12.25,120,2008-04-30 00:00:00.000
60,"Final Assembly",12.25,120,2008-04-30 00:00:00.000
