BusinessEntityID,TotalPurchaseYTD,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
3246,557.49,2003-10-24 00:00:00.000,1975-11-07 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3058,19.2,2004-04-07 00:00:00.000,1979-05-07 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3273,-21.49,2004-02-12 00:00:00.000,1976-04-08 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3089,-24.99,2004-03-04 00:00:00.000,1976-05-20 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3446,-37.01,2004-02-12 00:00:00.000,1976-01-19 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3528,9.99,2004-03-21 00:00:00.000,1980-10-12 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3376,7.69,2003-10-12 00:00:00.000,1977-04-09 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3469,-49,2004-03-17 00:00:00.000,1976-03-27 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3612,-539.99,2004-05-14 00:00:00.000,1977-04-10 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3592,-8.99,2004-06-18 00:00:00.000,1977-05-27 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
3637,31.69,2004-04-09 00:00:00.000,1978-02-16 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
4452,1.7,2003-11-09 00:00:00.000,1974-10-04 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
4693,7.69,2003-12-17 00:00:00.000,1976-11-17 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
4674,-28.99,2004-02-25 00:00:00.000,1975-11-04 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
4956,-1623.87,2002-09-02 00:00:00.000,1976-02-06 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
5935,45.99,2003-08-25 00:00:00.000,1977-10-23 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
6173,5,2004-01-11 00:00:00.000,1974-12-04 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
6361,-8.99,2004-02-02 00:00:00.000,1977-09-27 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
7388,518.98,2003-10-31 00:00:00.000,1973-12-26 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
7862,-8.99,2004-04-21 00:00:00.000,1977-08-25 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
7627,557.49,2004-05-15 00:00:00.000,1974-08-05 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8397,-30,2004-02-29 00:00:00.000,1973-05-14 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8315,23.99,2004-01-25 00:00:00.000,1976-09-09 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8395,1173.85,2003-08-29 00:00:00.000,1976-09-09 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8506,15.58,2004-06-13 00:00:00.000,1977-08-03 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8590,-49.99,2003-10-23 00:00:00.000,1978-08-19 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8620,747.34,2004-01-08 00:00:00.000,1979-04-07 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8883,-1342.105,2002-09-05 00:00:00.000,1977-11-21 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
9219,-539.99,2004-05-06 00:00:00.000,1977-06-03 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
8999,-24.99,2003-09-28 00:00:00.000,1976-12-19 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
9869,5,2003-11-05 00:00:00.000,1974-01-14 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
10044,-2049.0964,2002-08-06 00:00:00.000,1974-04-03 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
9799,-31,2003-08-28 00:00:00.000,1975-06-02 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
9877,1066.5,2004-06-16 00:00:00.000,1974-08-17 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
10028,-15.01,2004-07-11 00:00:00.000,1977-08-23 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
10127,-9.51,2004-06-14 00:00:00.000,1975-05-22 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
10618,-30,2004-03-09 00:00:00.000,1975-06-21 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
10595,2299.9904,2002-11-14 00:00:00.000,1975-11-03 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
10905,-3.99,2003-09-26 00:00:00.000,1977-05-18 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
11164,1691.9975,2003-02-19 00:00:00.000,1974-05-23 00:00:00.000,"S","25001-50000","F",0,0,"Partial College","Clerical",False,1
