BusinessEntityID,Name,AddressType,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName
1490,"Engineered Bike Systems","Main Office","123 Camelia Avenue","","Oxnard","California","93030","United States"
556,"Mechanical Products Ltd.","Main Office","22555 Paseo De Las Americas","","San Diego","California","92102","United States"
1002,"Distant Inn","Main Office","25001 Montague Expressway","","Milpitas","California","95035","United States"
1296,"Trailblazing Sports","Main Office","251340 E. South St.","","Cerritos","California","90703","United States"
526,"Futuristic Bikes","Main Office","25136 Jefferson Blvd.","","Culver City","California","90232","United States"
1244,"Finish and Sealant Products","Main Office","25150 El Camino Real","","San Bruno","California","94066","United States"
1886,"Trendy Department Stores","Main Office","25472 Marlay Ave","","Fontana","California","92335","United States"
1308,"More Bikes!","Main Office","25600 E St Andrews Pl","","Santa Ana","California","92701","United States"
1098,"Strenuous Exercise Shop","Main Office","25620 Firestone Boulevard","","Norwalk","California","90650","United States"
458,"Metallic Paint and Overcoat Co","Main Office","25751 University Drive","","Vista","California","92084","United States"
1446,"Curbside Sporting Goods","Main Office","25871 North Main Street","","Walnut Creek","California","94596","United States"
484,"World Bike Discount Store","Main Office","3065 Santa Margarita Parkway","","Trabuco Canyon","California","92679","United States"
900,"Basic Sports Equipment","Main Office","3250 Baldwin Park Blvd","","Baldwin Park","California","91706","United States"
644,"Aerobic Exercise Company","Main Office","39933 Mission Oaks Blvd","","Camarillo","California","93010","United States"
1426,"Bicycle Merchandise Warehouse","Main Office","409 Santa Monica Blvd.","","Santa Monica","California","90401","United States"
1184,"Separate Parts Corporation","Main Office","440 West Huntington Dr.","","Monrovia","California","91016","United States"
1348,"Healthy Activity Store","Main Office","4460 Newport Center Drive","","Newport Beach","California","92625","United States"
1026,"Metropolitan Sports Supply","Main Office","482505 Warm Springs Blvd.","","Fremont","California","94536","United States"
700,"Fleet Bikes","Main Office","54254 Pacific Ave.","","Stockton","California","95202","United States"
478,"Golf and Cycle Store","Main Office","5500 Grossmont Center Drive","","La Mesa","California","91941","United States"
294,"Professional Sales and Service","Main Office","57251 Serene Blvd","","Van Nuys","California","91411","United States"
1838,"Valley Bicycle Distributors","Main Office","5867 Sunrise Boulevard","","Citrus Heights","California","95610","United States"
630,"Rural Department Store","Main Office","5967 W Las Positas Blvd","","Pleasanton","California","94566","United States"
1014,"Bike World","Main Office","60025 Bollinger Canyon Road","","San Ramon","California","94583","United States"
1392,"Discount Tours","Main Office","603 Gellert Blvd","","Daly City","California","94015","United States"
1360,"Main Bicycle Services","Main Office","60750 San Clemente","","Hayward","California","94541","United States"
1196,"Weekend Bike Tours","Main Office","630 N. Capitol Ave.","","San Jose","California","95112","United States"
1254,"Mountain Bike Center","Main Office","6756 Mowry","","Newark","California","94560","United States"
302,"Area Bike Accessories","Main Office","6900 Sisk Road","","Modesto","California","95354","United States"
990,"Locks Company","Main Office","70259 West Sunnyview Ave","","Visalia","California","93291","United States"
504,"Economy Bikes Company","Main Office","72502 Eastern Ave.","","Bell Gardens","California","90201","United States"
1458,"Alpine Ski House","Main Office","7505 Laguna Boulevard","","Elk Grove","California","95624","United States"
978,"Commercial Sporting Goods","Main Office","9700 Sisk Road","","Modesto","California","95354","United States"
816,"Farthermost Bike Shop","Main Office","99000 S. Avalon Blvd. Suite 750","","Carson","California","90746","United States"
652,"Westside Plaza","Main Office","99040 California Avenue","","Sand City","California","93955","United States"
958,"Big-Time Bike Store","Main Office","9909 W. Ventura Boulevard","","Camarillo","California","93010","United States"
1850,"Wheel Gallery","Main Office","9920 Bridgepointe Parkway","","San Mateo","California","94404","United States"
448,"Traction Tire Company","Main Office","99235 Hawthorne Blvd.","","Torrance","California","90505","United States"
1092,"Good Toys","Main Office","99700 Bell Road","","Auburn","California","95603","United States"
1336,"Eastside Department Store","Main Office","9992 Whipple Rd","","Union City","California","94587","United States"
912,"Retail Cycle Shop","Main Office","Bayshore Mall","","Eureka","California","95501","United States"
460,"Pro Sporting Goods","Main Office","Camarillo Athletic Stores","","Camarillo","California","93010","United States"
1066,"Small Bike Shop","Main Office","Corp Ofc Accts Payable","","El Segundo","California","90245","United States"
492,"Coalition Bike Company","Main Office","Corporate Office","","El Segundo","California","90245","United States"
474,"Number 1 Supply","Main Office","Escondido","","Escondido","California","92025","United States"
754,"Distinctive Store","Main Office","Factory Merchants","","Barstow","California","92311","United States"
370,"Resale Services","Main Office","Fox Hills","","Culver City","California","90232","United States"
966,"The New Bike Store","Main Office","Hanford Mall","","Hanford","California","93230","United States"
790,"Preferred Bikes","Main Office","Incom Sports Center","","Ontario","California","91764","United States"
1108,"Affordable Sports Equipment","Main Office","Lake Elisnor Place","","Lake Elsinore","California","92530","United States"
614,"Outdoor Sporting Goods","Main Office","Lakewood Mall","","Lakewood","California","90712","United States"
1956,"Wire Baskets and Parts","Main Office","Mall Of Orange","","Orange","California","92867","United States"
776,"Principal Bike Company","Main Office","Mountain Square","","Upland","California","91786","United States"
1944,"Quantity Discounts","Main Office","Natomas Marketplace","","Sacramento","California","95814","United States"
396,"Flawless Bike Shop","Main Office","North County Square","","Vista","California","92084","United States"
400,"Exertion Activities Club","Main Office","Norwalk Square","","Norwalk","California","90650","United States"
572,"Bike Universe","Main Office","Nut Tree Factory","","Vacaville","California","95688","United States"
1990,"Technical Parts Manufacturing","Main Office","Ontario Mills","","Ontario","California","91764","United States"
1932,"Thrifty Parts and Sales","Main Office","Oxnard Outlet","","Oxnard","California","93030","United States"
1214,"Sturdy Toys","Main Office","Pacific West Outlet","","Gilroy","California","95020","United States"
1478,"Metropolitan Manufacturing","Main Office","Parkway Plaza","","El Cajon","California","92020","United States"
742,"Vehicle Shop","Main Office","Pavillion @ Redlands","","Redlands","California","92373","United States"
1376,"Sports Products Store","Main Office","Po Box 252525","","Santa Ana","California","92701","United States"
1278,"Many Bikes Store","Main Office","Receiving","","Fullerton","California","92831","United States"
696,"Extreme Riding Supplies","Main Office","Riverside","","Sherman Oaks","California","91403","United States"
1860,"Sparkling Paint and Finishes","Main Office","San Diego Factory","","San Ysidro","California","92173","United States"
1134,"Highway Bike Shop","Main Office","Simi @ The Plaza","","Simi Valley","California","93065","United States"
