BusinessEntityID,Name,AnnualSales,AnnualRevenue,BankName,BusinessType,YearOpened,Specialty,SquareFeet,Brands,Internet,NumberEmployees
308,"Valley Bicycle Specialists",3000000,300000,"Primary Bank & Reserve","OS",1979,"Mountain",72000,"4+","DSL",66
330,"Major Sport Suppliers",3000000,300000,"Reserve Security","OS",1998,"Mountain",68000,"3","DSL",52
338,"Systematic Sales",3000000,300000,"Primary International","OS",1999,"Touring",73000,"4+","DSL",55
340,"eCommerce Bikes",3000000,300000,"Guardian Bank","OS",1999,"Mountain",69000,"2","DSL",58
348,"Bold Bike Accessories",3000000,300000,"Primary Bank & Reserve","OS",1999,"Mountain",72000,"4+","DSL",58
354,"Acclaimed Bicycle Company",3000000,300000,"International Bank","OS",1979,"Touring",73000,"3","DSL",61
358,"Quality Bike Sales",3000000,300000,"Reserve Security","OS",1991,"Touring",74000,"3","DSL",67
362,"Distinctive Cycles Sales & Service",3000000,300000,"Primary Bank & Reserve","OS",1995,"Mountain",75000,"3","DSL",79
374,"Immense Manufacturing Company",3000000,300000,"Guardian Bank","OS",1998,"Touring",76000,"4+","DSL",73
376,"Extended Bike Sales",3000000,300000,"International Security","OS",1990,"Mountain",73000,"4+","DSL",76
460,"Pro Sporting Goods",3000000,300000,"Primary International","OS",1972,"Mountain",79000,"4+","DSL",90
462,"Sporting Goods and Bicycle Shop",3000000,300000,"Guardian Bank","OS",1977,"Road",78000,"3","DSL",91
464,"Odometers and Accessories Company",3000000,300000,"International Security","OS",1987,"Touring",76000,"4+","DSL",92
472,"Safe Cycles Shop",3000000,300000,"International Security","OS",1998,"Mountain",72000,"4+","DSL",73
476,"Industrial Supplies",3000000,300000,"International Bank","OS",1995,"Touring",73000,"3","DSL",79
478,"Golf and Cycle Store",3000000,300000,"Guardian Bank","OS",1978,"Mountain",75000,"2","DSL",86
480,"Front Runner Bikes",3000000,300000,"International Security","OS",1983,"Touring",77000,"4+","DSL",87
482,"Favorite Toy Distributor",3000000,300000,"Primary Bank & Reserve","OS",1975,"Touring",77000,"4+","DSL",88
526,"Futuristic Bikes",3000000,300000,"United Security","OS",1995,"Mountain",77000,"2","DSL",79
540,"Metro Bike Works",3000000,300000,"International Bank","OS",1999,"Mountain",77000,"4+","DSL",100
562,"Custom Accessories Company",3000000,300000,"Guardian Bank","OS",1998,"Road",79000,"4+","DSL",98
564,"Unusual Bicycle Company",3000000,300000,"International Security","OS",1999,"Touring",78000,"4+","DSL",99
580,"Farthest Bike Store",3000000,300000,"United Security","OS",1987,"Touring",74000,"4+","DSL",80
582,"Excellent Bikes",3000000,300000,"Reserve Security","OS",1992,"Touring",75000,"2","DSL",81
584,"Curbside Universe",3000000,300000,"Primary International","OS",1984,"Road",73000,"4+","DSL",82
594,"Racing Store",3000000,300000,"Guardian Bank","OS",1987,"Road",78000,"4+","DSL",92
596,"Metro Metals Co.",3000000,300000,"International Security","OS",1974,"Touring",77000,"4+","DSL",93
618,"Petroleum Products Distributors",3000000,300000,"International Bank","OS",1978,"Touring",78000,"4+","DSL",86
624,"Budget Toy Store",3000000,300000,"International Bank","OS",1998,"Mountain",71000,"4+","DSL",52
626,"Camping and Sports Store",3000000,300000,"Reserve Security","OS",1987,"Touring",77000,"4+","DSL",80
652,"Westside Plaza",3000000,300000,"United Security","OS",1989,"Touring",74000,"3","DSL",83
654,"Ultimate Bike Shop",3000000,300000,"Reserve Security","OS",1981,"Mountain",78000,"4+","DSL",84
658,"Vigorous Sports Store",3000000,300000,"Guardian Bank","OS",1984,"Road",73000,"4+","DSL",82
660,"Sports Merchandise",3000000,300000,"International Security","OS",1989,"Touring",73000,"4+","DSL",83
662,"Fitness Toy Store",3000000,300000,"Primary Bank & Reserve","OS",1981,"Road",75000,"3","DSL",84
692,"Grand Discount Store",3000000,300000,"International Bank","OS",1974,"Mountain",75000,"4+","DSL",94
694,"Genuine Bike Shop",3000000,300000,"United Security","OS",1980,"Road",76000,"4+","DSL",95
758,"Nearby Bike Mall",3000000,300000,"United Security","OS",1983,"Road",74000,"2","DSL",87
762,"Friendly Bike Shop",3000000,300000,"Primary International","OS",1980,"Road",75000,"2","DSL",89
766,"Extreme Toy Store",3000000,300000,"International Security","OS",1977,"Mountain",75000,"2","DSL",91
768,"Citywide Service and Repair",3000000,300000,"Primary Bank & Reserve","OS",1987,"Road",79000,"3","DSL",92
772,"Professional Sporting Goods",3000000,300000,"United Security","OS",1974,"Touring",78000,"2","DSL",94
774,"Rugged Bikes",3000000,300000,"Reserve Security","OS",1980,"Touring",77000,"2","DSL",95
776,"Principal Bike Company",3000000,300000,"Primary International","OS",1986,"Road",79000,"3","DSL",96
780,"Finer Riding Supplies",3000000,300000,"International Security","OS",1998,"Road",78000,"4+","DSL",98
782,"Neighborhood Store",3000000,300000,"Primary International","OS",1983,"Road",77000,"2","DSL",87
792,"Rally Day Mall",3000000,300000,"United Security","OS",1987,"Road",75000,"3","DSL",92
796,"Rich Department Store",3000000,300000,"Primary International","OS",1974,"Touring",76000,"2","DSL",94
800,"Stationary Bikes and Stands",3000000,300000,"International Security","OS",1986,"Road",76000,"4+","DSL",96
804,"Downtown Hotel",3000000,300000,"International Bank","OS",1986,"Mountain",74000,"4+","DSL",85
806,"Certified Sports Supply",3000000,300000,"United Security","OS",1978,"Mountain",78000,"4+","DSL",86
